id,label,area
31951,residuals,17268
31952,refrigerator,1128
31953,refrigerator,2220
31954,refrigerator,2522
31955,refrigerator,1830
31956,refrigerator,1930
31957,lighting,63989
31958,refrigerator,2024
31959,refrigerator,1910
31960,refrigerator,66
31961,refrigerator,70
31962,lighting,675
31963,refrigerator,1920
31964,oven,9668
31965,oven,96
31966,refrigerator,2340
31967,lighting,750
31968,kitchen_outlets,4324
31969,refrigerator,1930
31970,lighting,638
31971,refrigerator,3492
31972,refrigerator,2244
31973,microwave,3056
31974,bathroom_gfi,7975
31975,refrigerator,2035
31976,refrigerator,2068
31977,refrigerator,2057
31978,lighting,396
31979,refrigerator,3600
31980,refrigerator,6992
31981,refrigerator,3667
31982,refrigerator,70
31983,refrigerator,2013
31984,refrigerator,2079
31985,refrigerator,1740
31986,refrigerator,2100
31987,refrigerator,2520
31988,refrigerator,54
31989,lighting,260
31990,lighting,54
31991,lighting,54
31992,lighting,60
31993,refrigerator,2002
31994,refrigerator,1364
31995,refrigerator,3206
31996,refrigerator,243
31997,refrigerator,70
31998,refrigerator,66
31999,refrigerator,108
32000,refrigerator,66
32001,refrigerator,330
32002,lighting,135
32003,refrigerator,55
