id,label,area
31690,residuals,15829
31691,lighting,9198
31692,dishwasher,1491
31693,dishwasher,546
31694,dishwasher,9625
31695,refrigerator,2715
31696,refrigerator,2730
31697,lighting,16695
31698,refrigerator,2353
31699,refrigerator,2576
31700,refrigerator,2562
31701,refrigerator,2928
31702,refrigerator,3759
31703,refrigerator,2896
31704,refrigerator,4232
31705,lighting,1600
31706,refrigerator,2418
31707,refrigerator,2418
31708,dishwasher,11194
31709,dishwasher,6450
31710,dishwasher,90
31711,refrigerator,88
31712,refrigerator,81
31713,refrigerator,2760
31714,refrigerator,2790
31715,oven,44
31716,refrigerator,2340
31717,refrigerator,2896
31718,refrigerator,66
31719,refrigerator,60
31720,refrigerator,63
31721,refrigerator,60
31722,refrigerator,130
31723,refrigerator,80
31724,refrigerator,77
31725,lighting,9724
31726,refrigerator,45
31727,dishwasher,1512
31728,refrigerator,187
31729,refrigerator,40
31730,refrigerator,50
31731,refrigerator,108
31732,bathroom_gfi,78
31733,refrigerator,36
31734,microwave,5800
31735,refrigerator,3128
31736,refrigerator,2674
31737,refrigerator,2700
31738,dishwasher,19018
31739,refrigerator,2310
31740,refrigerator,36
31741,bathroom_gfi,6340
31742,lighting,77
31743,lighting,108
31744,refrigerator,374
31745,dishwasher,1134
31746,dishwasher,9295
31747,refrigerator,45
31748,refrigerator,55
31749,refrigerator,3393
31750,dishwasher,132
31751,refrigerator,70
31752,refrigerator,180
31753,dishwasher,140
31754,dishwasher,205
