id,label,area
32635,residuals,47487
32636,lighting,13995
32637,refrigerator,2928
32638,lighting,1848
32639,refrigerator,3114
32640,kitchen_outlets,2795
32641,lighting,10706
32642,refrigerator,3822
32643,refrigerator,3801
32644,refrigerator,4004
32645,refrigerator,3806
32646,refrigerator,2088
32647,refrigerator,2560
32648,refrigerator,54
32649,refrigerator,2610
32650,lighting,4590
32651,refrigerator,126
32652,kitchen_outlets,77
32653,refrigerator,2010
32654,lighting,2088
32655,refrigerator,1935
32656,refrigerator,36
32657,refrigerator,63
32658,refrigerator,91
32659,refrigerator,140
32660,washer_dryer,4320
32661,lighting,6076
32662,lighting,504
32663,refrigerator,3500
32664,refrigerator,108
32665,refrigerator,99
32666,refrigerator,1092
32667,refrigerator,77
32668,refrigerator,561
32669,refrigerator,330
32670,refrigerator,2775
32671,refrigerator,372
32672,refrigerator,36
32673,washer_dryer,68202
32674,refrigerator,3507
32675,lighting,99
32676,refrigerator,200
32677,lighting,36
32678,refrigerator,3240
32679,refrigerator,6179
32680,refrigerator,70
32681,bathroom_gfi,6376
32682,refrigerator,340
32683,washer_dryer,242
32684,refrigerator,117
32685,refrigerator,36
32686,refrigerator,612
32687,lighting,180
32688,microwave,5732
32689,refrigerator,2430
32690,refrigerator,2752
32691,refrigerator,3402
32692,refrigerator,147
32693,refrigerator,63
