id,label,area
23049,residuals,1439
23050,lighting,2805
23051,kitchen_outlets,5455
23052,dishwasher,1435
23053,lighting,3402
23054,dishwasher,1917
23055,dishwasher,9798
23056,dishwasher,450
23057,dishwasher,4716
23058,lighting,561
23059,dishwasher,1504
23060,dishwasher,5452
23061,dishwasher,798
23062,dishwasher,1768
23063,dishwasher,2048
23064,dishwasher,156
23065,lighting,130
23066,dishwasher,22150
23067,dishwasher,26340
23068,dishwasher,6270
23069,dishwasher,5174
23070,dishwasher,210
23071,dishwasher,162
23072,dishwasher,15858
23073,dishwasher,154
23074,dishwasher,9724
23075,dishwasher,81
23076,residuals,1439
23077,lighting,3348
23078,lighting,2750
23079,dishwasher,1435
23080,dishwasher,1704
23081,dishwasher,9798
23082,dishwasher,1816
23083,dishwasher,2496
23084,dishwasher,4716
23085,lighting,612
23086,dishwasher,1504
23087,dishwasher,5452
23088,dishwasher,798
23089,dishwasher,6237
23090,dishwasher,5373
23091,dishwasher,160
23092,lighting,130
23093,dishwasher,22150
23094,dishwasher,26340
23095,dishwasher,162
23096,dishwasher,15858
23097,kitchen_outlets,4316
23098,dishwasher,210
23099,dishwasher,9724
23100,dishwasher,154
23101,dishwasher,81
23102,residuals,1439
23103,dishwasher,1791
23104,lighting,7102
23105,lighting,2750
23106,dishwasher,5719
23107,kitchen_outlets,1178
23108,dishwasher,3936
23109,lighting,612
23110,dishwasher,780
23111,kitchen_outlets,5890
23112,lighting,130
23113,dishwasher,27373
23114,dishwasher,225
23115,kitchen_outlets,18312
23116,dishwasher,180
23117,residuals,1439
23118,kitchen_outlets,4316
23119,lighting,3402
23120,lighting,2750
23121,dishwasher,1791
23122,dishwasher,8643
23123,dishwasher,1115
23124,dishwasher,6525
23125,dishwasher,4752
23126,lighting,612
23127,dishwasher,780
23128,dishwasher,198
23129,lighting,140
23130,dishwasher,27063
23131,dishwasher,15858
23132,dishwasher,252
23133,residuals,1439
23134,dishwasher,1917
23135,dishwasher,9844
23136,dishwasher,1816
23137,dishwasher,2496
23138,dishwasher,4716
23139,lighting,7938
23140,dishwasher,1435
23141,lighting,4536
23142,dishwasher,756
23143,dishwasher,6237
23144,dishwasher,5174
23145,dishwasher,160
23146,kitchen_outlets,5465
23147,dishwasher,1504
23148,dishwasher,5452
23149,lighting,891
23150,dishwasher,26340
23151,dishwasher,162
23152,dishwasher,15858
23153,dishwasher,22150
23154,dishwasher,9724
23155,dishwasher,210
23156,dishwasher,154
23157,dishwasher,81
23158,residuals,1439
23159,lighting,4536
23160,dishwasher,1435
23161,dishwasher,1704
23162,lighting,10269
23163,kitchen_outlets,4316
23164,lighting,891
23165,dishwasher,1504
23166,dishwasher,5452
23167,dishwasher,6854
23168,dishwasher,525
23169,dishwasher,4752
23170,dishwasher,22150
23171,dishwasher,798
23172,dishwasher,1760
23173,dishwasher,1984
23174,dishwasher,210
23175,dishwasher,26340
23176,dishwasher,540
23177,dishwasher,6303
23178,dishwasher,5174
23179,dishwasher,154
23180,dishwasher,9812
23181,dishwasher,15858
23182,dishwasher,81
23183,residuals,1439
23184,dishwasher,1791
23185,dishwasher,8643
23186,dishwasher,1115
23187,dishwasher,6525
23188,dishwasher,4752
23189,lighting,7938
23190,kitchen_outlets,5455
23191,lighting,4536
23192,dishwasher,780
23193,dishwasher,198
23194,lighting,972
23195,dishwasher,27063
23196,dishwasher,15858
23197,dishwasher,252
23198,residuals,1439
23199,lighting,6240
23200,lighting,4536
23201,dishwasher,1791
23202,dishwasher,8643
23203,dishwasher,1115
23204,dishwasher,6554
23205,dishwasher,4752
23206,lighting,1764
23207,lighting,810
23208,dishwasher,780
23209,dishwasher,189
23210,kitchen_outlets,4308
23211,dishwasher,27063
23212,dishwasher,15840
23213,dishwasher,252
