id,label,area
28705,residuals,7195
28706,kitchen_outlets,9276
28707,refrigerator,3800
28708,refrigerator,3610
28709,refrigerator,3610
28710,refrigerator,3402
28711,dishwasher,19200
28712,dishwasher,5135
28713,refrigerator,4232
28714,oven,5670
28715,oven,2120
28716,refrigerator,2700
28717,refrigerator,3572
28718,refrigerator,2760
28719,refrigerator,3780
28720,refrigerator,3553
28721,refrigerator,3610
28722,refrigerator,6048
28723,refrigerator,7030
28724,refrigerator,4136
28725,refrigerator,72
28726,refrigerator,54
28727,refrigerator,81
28728,refrigerator,50
28729,refrigerator,832
28730,refrigerator,672
28731,dishwasher,116
28732,refrigerator,132
28733,refrigerator,45
28734,oven,22035
28735,refrigerator,3439
28736,refrigerator,65
28737,refrigerator,50
28738,refrigerator,70
28739,refrigerator,144
28740,refrigerator,81
28741,refrigerator,70
28742,refrigerator,88
28743,refrigerator,3248
28744,refrigerator,170
28745,refrigerator,99
28746,refrigerator,110
28747,refrigerator,528
28748,dishwasher,16815
28749,refrigerator,1351
28750,oven,285
28751,refrigerator,160
28752,refrigerator,60
28753,refrigerator,54
28754,refrigerator,1295
28755,dishwasher,25230
28756,refrigerator,1910
28757,bathroom_gfi,120
28758,dishwasher,108
28759,refrigerator,1197
