id,label,area
29905,residuals,4317
29906,washer_dryer,110
29907,washer_dryer,250
29908,washer_dryer,260
29909,washer_dryer,260
29910,oven,9928
29911,dishwasher,306
29912,dishwasher,128
29913,microwave,5780
29914,bathroom_gfi,198
29915,washer_dryer,250
29916,bathroom_gfi,6488
29917,washer_dryer,1880
29918,washer_dryer,1688
29919,washer_dryer,4928
29920,washer_dryer,2778
29921,washer_dryer,5138
29922,washer_dryer,2526
29923,washer_dryer,4732
29924,washer_dryer,2328
29925,dishwasher,1704
29926,dishwasher,4862
29927,dishwasher,1135
29928,dishwasher,7812
29929,washer_dryer,5544
29930,washer_dryer,2646
29931,washer_dryer,748
29932,washer_dryer,621
29933,washer_dryer,819
29934,dishwasher,9130
29935,washer_dryer,344
29936,washer_dryer,490
