id,label,area
26735,residuals,5756
26736,washer_dryer,200
26737,dishwasher,1442
26738,dishwasher,4692
26739,dishwasher,98
26740,washer_dryer,110
26741,washer_dryer,200
26742,washer_dryer,234
26743,microwave,175
26744,washer_dryer,208
26745,dishwasher,100
26746,washer_dryer,5572
26747,washer_dryer,2652
26748,dishwasher,1688
26749,dishwasher,7728
26750,washer_dryer,1868
26751,washer_dryer,1688
26752,washer_dryer,4928
26753,washer_dryer,2778
26754,washer_dryer,5138
26755,washer_dryer,2526
26756,washer_dryer,4718
26757,washer_dryer,2322
26758,washer_dryer,328
26759,dishwasher,7375
26760,dishwasher,3780
26761,washer_dryer,748
26762,washer_dryer,621
26763,washer_dryer,828
26764,microwave,486
26765,dishwasher,17300
26766,washer_dryer,490
26767,dishwasher,410
26768,microwave,7515
26769,dishwasher,108
26770,dishwasher,30695
26771,dishwasher,50
26772,dishwasher,320
26773,dishwasher,364
26774,dishwasher,209
26775,dishwasher,45
