id,label,area
27380,residuals,12951
27381,refrigerator,4641
27382,refrigerator,3128
27383,refrigerator,2366
27384,refrigerator,624
27385,refrigerator,2944
27386,refrigerator,2745
27387,refrigerator,2715
27388,refrigerator,2670
27389,refrigerator,2670
27390,refrigerator,2730
27391,lighting,7527
27392,refrigerator,434
27393,dishwasher,4323
27394,refrigerator,2745
27395,bathroom_gfi,6360
27396,lighting,17442
27397,lighting,110
27398,refrigerator,72
27399,refrigerator,63
27400,refrigerator,2652
27401,refrigerator,70
27402,refrigerator,72
27403,refrigerator,100
27404,refrigerator,120
27405,refrigerator,132
27406,refrigerator,63
27407,refrigerator,297
27408,dishwasher,5096
27409,dishwasher,6944
27410,refrigerator,81
27411,refrigerator,2562
27412,lighting,112
27413,refrigerator,3492
27414,lighting,528
27415,refrigerator,3040
27416,refrigerator,3040
27417,lighting,4450
27418,refrigerator,80
27419,refrigerator,1683
27420,lighting,784
27421,refrigerator,640
27422,refrigerator,864
27423,dishwasher,18207
27424,refrigerator,75
27425,refrigerator,66
27426,lighting,36
27427,refrigerator,2880
27428,refrigerator,2715
27429,lighting,66
27430,lighting,60
27431,lighting,5628
27432,dishwasher,6976
27433,dishwasher,84
27434,refrigerator,88
27435,refrigerator,63
