id,label,area
2215,residuals,5756
2216,microwave,8850
2217,oven,252
2218,residuals,5756
2219,microwave,6076
2220,microwave,7245
2221,microwave,5920
2222,residuals,5756
2223,microwave,132
2224,microwave,72
2225,residuals,5756
2226,microwave,7280
2227,oven,324
2228,residuals,2878
2229,oven,341
2230,microwave,5780
2231,residuals,5756
2232,oven,8470
2233,microwave,8850
2234,residuals,5756
2235,microwave,7245
2236,microwave,5920
2237,oven,9884
2238,oven,8470
2239,microwave,6076
2240,residuals,5756
2241,oven,9884
2242,oven,8470
2243,microwave,132
2244,residuals,5756
2245,oven,9884
2246,oven,7795
2247,microwave,16016
2248,oven,948
2249,residuals,2878
2250,microwave,5780
2251,oven,9892
2252,oven,8480
2253,residuals,5756
2254,microwave,8850
2255,oven,429
2256,residuals,5756
2257,microwave,6076
2258,oven,429
2259,microwave,7245
2260,microwave,5920
2261,residuals,2878
2262,microwave,140
2263,oven,451
2264,residuals,5756
2265,oven,429
2266,microwave,7280
2267,residuals,2878
2268,microwave,5780
2269,oven,451
2270,residuals,5756
2271,microwave,8850
2272,oven,9916
2273,residuals,5756
2274,microwave,6076
2275,oven,9920
2276,microwave,7245
2277,microwave,5920
2278,residuals,5756
2279,oven,9916
2280,microwave,132
2281,residuals,5756
2282,oven,9916
2283,microwave,7280
2284,residuals,2878
2285,oven,9924
2286,oven,378
2287,microwave,5780
2288,oven,76
2289,residuals,5756
2290,oven,252
2291,microwave,8850
2292,residuals,5756
2293,microwave,7245
2294,microwave,5920
2295,microwave,6076
2296,oven,280
2297,residuals,5756
2298,oven,252
2299,microwave,132
2300,residuals,5756
2301,oven,280
2302,microwave,7280
2303,residuals,2878
2304,microwave,5780
