id,label,area
32902,residuals,17268
32903,refrigerator,2604
32904,kitchen_outlets,3196
32905,refrigerator,2520
32906,refrigerator,2618
32907,refrigerator,2604
32908,refrigerator,2604
32909,lighting,5375
32910,refrigerator,2576
32911,bathroom_gfi,6444
32912,lighting,1452
32913,refrigerator,2576
32914,refrigerator,2392
32915,refrigerator,2392
32916,microwave,960
32917,refrigerator,3660
32918,lighting,2436
32919,refrigerator,3982
32920,oven,8480
32921,refrigerator,40
32922,kitchen_outlets,4465
32923,refrigerator,110
32924,refrigerator,36
32925,refrigerator,50
32926,refrigerator,60
32927,refrigerator,2562
32928,lighting,192
32929,refrigerator,2632
32930,refrigerator,72
32931,refrigerator,1807
32932,refrigerator,70
32933,refrigerator,50
32934,refrigerator,54
32935,dishwasher,1592
32936,dishwasher,2052
32937,microwave,15420
32938,lighting,8400
32939,oven,192
32940,refrigerator,108
32941,refrigerator,264
32942,microwave,33108
32943,dishwasher,6416
32944,microwave,816
32945,refrigerator,2431
32946,lighting,1248
32947,oven,11295
32948,dishwasher,62050
32949,microwave,250
32950,microwave,112
32951,refrigerator,45
32952,refrigerator,2223
32953,refrigerator,2604
32954,bathroom_gfi,40
32955,refrigerator,190
32956,microwave,22448
32957,microwave,9090
32958,refrigerator,45
32959,refrigerator,2002
32960,microwave,10422
32961,microwave,1037
32962,microwave,5858
32963,refrigerator,112
32964,microwave,2142
32965,dishwasher,945
32966,microwave,240
32967,microwave,100
32968,microwave,16380
32969,microwave,72
32970,refrigerator,1364
32971,refrigerator,84
32972,refrigerator,196
