id,label,area
22335,residuals,10073
22336,refrigerator,3008
22337,refrigerator,2992
22338,refrigerator,2745
22339,refrigerator,2775
22340,refrigerator,1991
22341,refrigerator,279
22342,washer_dryer,180
22343,refrigerator,2944
22344,refrigerator,4560
22345,refrigerator,6256
22346,refrigerator,3534
22347,refrigerator,2896
22348,refrigerator,3294
22349,bathroom_gfi,720
22350,bathroom_gfi,78
22351,refrigerator,4368
22352,refrigerator,3938
22353,refrigerator,3094
22354,refrigerator,3196
22355,refrigerator,2960
22356,refrigerator,2912
22357,refrigerator,40
22358,refrigerator,55
22359,refrigerator,91
22360,refrigerator,45
22361,refrigerator,60
22362,washer_dryer,3724
22363,washer_dryer,2526
22364,washer_dryer,7599
22365,washer_dryer,2766
22366,refrigerator,90
22367,refrigerator,3435
22368,refrigerator,180
22369,refrigerator,72
22370,refrigerator,90
22371,refrigerator,90
22372,refrigerator,3077
22373,bathroom_gfi,135
22374,refrigerator,180
22375,refrigerator,99
22376,refrigerator,36
22377,refrigerator,80
22378,refrigerator,81
22379,washer_dryer,3536
22380,refrigerator,2101
22381,refrigerator,66
22382,bathroom_gfi,90
22383,bathroom_gfi,104
22384,refrigerator,36
22385,refrigerator,1260
22386,refrigerator,312
22387,residuals,8634
22388,refrigerator,3196
22389,washer_dryer,225
22390,refrigerator,2976
22391,bathroom_gfi,840
22392,bathroom_gfi,84
22393,refrigerator,3024
22394,bathroom_gfi,108
22395,refrigerator,2880
22396,refrigerator,2745
22397,refrigerator,2775
22398,refrigerator,2002
22399,refrigerator,2944
22400,refrigerator,2220
22401,refrigerator,2960
22402,refrigerator,4584
22403,refrigerator,6475
22404,refrigerator,3534
22405,refrigerator,2912
22406,refrigerator,3312
22407,refrigerator,3094
22408,refrigerator,4440
22409,refrigerator,4004
22410,refrigerator,306
22411,refrigerator,40
22412,washer_dryer,4774
22413,washer_dryer,2328
22414,refrigerator,80
22415,refrigerator,294
22416,refrigerator,40
22417,refrigerator,108
22418,refrigerator,91
22419,refrigerator,45
22420,refrigerator,60
22421,refrigerator,90
22422,refrigerator,54
22423,refrigerator,90
22424,refrigerator,3465
22425,refrigerator,180
22426,refrigerator,90
22427,refrigerator,99
22428,refrigerator,90
22429,refrigerator,100
22430,refrigerator,120
22431,refrigerator,160
22432,washer_dryer,4209
22433,washer_dryer,2910
22434,washer_dryer,304
22435,washer_dryer,464
22436,refrigerator,2768
22437,refrigerator,36
22438,refrigerator,66
22439,refrigerator,36
22440,refrigerator,2688
22441,refrigerator,90
22442,washer_dryer,2910
22443,residuals,8634
22444,washer_dryer,180
22445,refrigerator,384
22446,refrigerator,2562
22447,refrigerator,2604
22448,refrigerator,2590
22449,refrigerator,2632
22450,refrigerator,2576
22451,refrigerator,2431
22452,refrigerator,2576
22453,bathroom_gfi,793
22454,bathroom_gfi,208
22455,bathroom_gfi,99
22456,refrigerator,2353
22457,refrigerator,2184
22458,refrigerator,2576
22459,refrigerator,2431
22460,refrigerator,2392
22461,refrigerator,2618
22462,refrigerator,2632
22463,refrigerator,2618
22464,refrigerator,2366
22465,refrigerator,2632
22466,washer_dryer,91
22467,washer_dryer,3328
22468,washer_dryer,2526
22469,washer_dryer,5320
22470,refrigerator,70
22471,refrigerator,40
22472,refrigerator,63
22473,refrigerator,80
22474,refrigerator,63
22475,refrigerator,2392
22476,refrigerator,2132
22477,refrigerator,81
22478,refrigerator,70
22479,refrigerator,54
22480,refrigerator,50
22481,refrigerator,50
22482,refrigerator,36
22483,refrigerator,40
22484,refrigerator,81
22485,washer_dryer,3765
22486,washer_dryer,2688
22487,refrigerator,45
22488,refrigerator,90
22489,washer_dryer,180
22490,residuals,10073
22491,refrigerator,2618
22492,washer_dryer,4700
22493,refrigerator,2366
22494,washer_dryer,231
22495,refrigerator,2604
22496,refrigerator,2562
22497,refrigerator,2590
22498,refrigerator,2576
22499,refrigerator,2618
22500,refrigerator,2562
22501,refrigerator,2418
22502,refrigerator,2562
22503,refrigerator,2379
22504,refrigerator,2392
22505,refrigerator,2340
22506,refrigerator,2172
22507,refrigerator,2562
22508,bathroom_gfi,732
22509,bathroom_gfi,72
22510,bathroom_gfi,99
22511,refrigerator,187
22512,refrigerator,2632
22513,refrigerator,36
22514,washer_dryer,4396
22515,washer_dryer,1830
22516,refrigerator,63
22517,washer_dryer,4788
22518,refrigerator,2478
22519,refrigerator,36
22520,refrigerator,54
22521,refrigerator,40
22522,refrigerator,63
22523,refrigerator,80
22524,refrigerator,36
22525,refrigerator,63
22526,refrigerator,45
22527,refrigerator,36
22528,refrigerator,72
22529,refrigerator,63
22530,refrigerator,60
22531,refrigerator,2340
22532,refrigerator,2236
22533,refrigerator,693
22534,washer_dryer,304
22535,washer_dryer,460
22536,washer_dryer,2394
22537,bathroom_gfi,72
22538,refrigerator,54
22539,refrigerator,903
22540,residuals,10073
22541,refrigerator,3060
22542,refrigerator,4392
22543,refrigerator,3938
22544,refrigerator,44
22545,refrigerator,3111
22546,refrigerator,3196
22547,refrigerator,2960
22548,washer_dryer,232
22549,washer_dryer,330
22550,refrigerator,3008
22551,refrigerator,546
22552,refrigerator,2730
22553,refrigerator,1991
22554,refrigerator,2928
22555,refrigerator,588
22556,refrigerator,4560
22557,refrigerator,6256
22558,refrigerator,3515
22559,refrigerator,2896
22560,bathroom_gfi,60
22561,refrigerator,3294
22562,refrigerator,100
22563,refrigerator,120
22564,refrigerator,180
22565,refrigerator,99
22566,refrigerator,36
22567,refrigerator,80
22568,washer_dryer,5408
22569,washer_dryer,2526
22570,washer_dryer,4758
22571,refrigerator,40
22572,refrigerator,2864
22573,refrigerator,2640
22574,refrigerator,99
22575,refrigerator,60
22576,refrigerator,90
22577,refrigerator,2124
22578,refrigerator,2848
22579,refrigerator,3435
22580,refrigerator,180
22581,refrigerator,90
22582,refrigerator,90
22583,refrigerator,121
22584,refrigerator,36
22585,washer_dryer,294
22586,washer_dryer,3870
22587,washer_dryer,1800
22588,refrigerator,66
22589,refrigerator,91
22590,refrigerator,63
22591,refrigerator,90
22592,refrigerator,72
22593,refrigerator,891
22594,refrigerator,666
22595,residuals,10073
22596,refrigerator,2848
22597,washer_dryer,225
22598,refrigerator,3294
22599,washer_dryer,4725
22600,refrigerator,4416
22601,refrigerator,3938
22602,refrigerator,3077
22603,refrigerator,3196
22604,refrigerator,2992
22605,refrigerator,2912
22606,refrigerator,3008
22607,refrigerator,2864
22608,refrigerator,2745
22609,refrigerator,2775
22610,refrigerator,1991
22611,refrigerator,2928
22612,bathroom_gfi,2220
22613,refrigerator,2880
22614,refrigerator,4536
22615,refrigerator,6222
22616,refrigerator,3534
22617,refrigerator,117
22618,washer_dryer,5264
22619,washer_dryer,2910
22620,refrigerator,90
22621,washer_dryer,4844
22622,washer_dryer,1248
22623,refrigerator,120
22624,refrigerator,180
22625,refrigerator,120
22626,refrigerator,36
22627,refrigerator,54
22628,refrigerator,90
22629,refrigerator,40
22630,refrigerator,132
22631,refrigerator,91
22632,refrigerator,45
22633,refrigerator,60
22634,refrigerator,90
22635,refrigerator,36
22636,refrigerator,40
22637,refrigerator,132
22638,refrigerator,3435
22639,refrigerator,207
22640,refrigerator,81
22641,washer_dryer,1170
22642,refrigerator,328
22643,refrigerator,452
22644,refrigerator,36
22645,refrigerator,72
22646,residuals,10073
22647,refrigerator,2379
22648,refrigerator,2379
22649,refrigerator,2340
22650,refrigerator,2172
22651,refrigerator,2562
22652,refrigerator,2418
22653,bathroom_gfi,55
22654,washer_dryer,261
22655,washer_dryer,369
22656,refrigerator,2590
22657,refrigerator,2604
22658,refrigerator,2604
22659,refrigerator,2366
22660,refrigerator,2618
22661,refrigerator,2604
22662,refrigerator,2548
22663,refrigerator,2590
22664,refrigerator,2760
22665,refrigerator,2618
22666,refrigerator,2576
22667,refrigerator,2418
22668,refrigerator,2562
22669,refrigerator,45
22670,refrigerator,54
22671,refrigerator,81
22672,refrigerator,70
22673,refrigerator,60
22674,refrigerator,50
22675,washer_dryer,5408
22676,washer_dryer,2520
22677,washer_dryer,5220
22678,washer_dryer,2748
22679,refrigerator,36
22680,refrigerator,40
22681,refrigerator,63
22682,refrigerator,36
22683,refrigerator,70
22684,refrigerator,40
22685,refrigerator,54
22686,refrigerator,72
22687,refrigerator,36
22688,refrigerator,63
22689,washer_dryer,294
22690,refrigerator,45
