id,label,area
29140,residuals,10073
29141,lighting,20935
29142,lighting,48150
29143,refrigerator,2013
29144,refrigerator,1820
29145,lighting,28567
29146,refrigerator,2483
29147,refrigerator,3111
29148,kitchen_outlets,4301
29149,refrigerator,3196
29150,refrigerator,2583
29151,refrigerator,9690
29152,refrigerator,2992
29153,refrigerator,2562
29154,refrigerator,2232
29155,refrigerator,2444
29156,refrigerator,2444
29157,refrigerator,2256
29158,refrigerator,2340
29159,refrigerator,2280
29160,refrigerator,2244
29161,refrigerator,63
29162,refrigerator,54
29163,refrigerator,1265
29164,refrigerator,1870
29165,refrigerator,2196
29166,refrigerator,2024
29167,oven,264
29168,refrigerator,2364
29169,refrigerator,2013
29170,refrigerator,108
29171,kitchen_outlets,90
29172,refrigerator,63
29173,refrigerator,4500
29174,lighting,117
29175,washer_dryer,68148
29176,lighting,72
29177,lighting,110
29178,lighting,70
29179,lighting,54
29180,lighting,54
29181,lighting,45
29182,lighting,45
29183,lighting,81
29184,refrigerator,584
29185,refrigerator,36
29186,refrigerator,90
29187,refrigerator,70
29188,refrigerator,1947
29189,oven,12175
29190,refrigerator,72
29191,refrigerator,54
29192,kitchen_outlets,8076
29193,lighting,54
29194,washer_dryer,308
29195,refrigerator,60
29196,washer_dryer,2124
